"fold_id","district","district_old","pca","orig_area","district_perim","parts","circle_perim","circle_area","hull_perim","hull_area","reock","hull","grofman","polsby","corners","xvar","yvar","sym_x","sym_y","points","var_xcoord","var_ycoord","avgline","varline","boyce","lenwid"
"set1.1","1_U_018_2010","01_1_018",65.6862745098039,261805270.271,153036.155871,1,156935.662239,1937354530.92,105830.032394,435694822.855,0.135135446864584,0.600891395852388,9.45812077986993,0.140475359675041,65,83.1001,135.236,0.788390970909,0.824723485881,522,0.00768309258696311,0.00922677766202137,0.00290406110157133,1.30789997064594e-05,0.440451253045545,1.13915686936652
"set1.2","10_L_002_2010","10_0_002",77.4509803921569,24798458.9739,33667.0469541,1,38804.0204186,116871690.426,25807.5311314,38227226.3181,0.212185336615814,0.648711961666921,6.76071576759591,0.274931504333456,25,154.57,100.85,0.0636000128387,0.257664337376,107,0.00110217352525882,0.000172585911583812,0.00336167911625998,1.17260231621882e-05,0.484308358599226,2.61665613651344
"set1.3","12_L_048_2010","12_0_048",80.3921568627451,198082550.648,87046.4308838,1,84607.6268392,566400293.378,67733.6427662,288976566.678,0.349721836241715,0.685462329783712,6.18483131034137,0.328514199742911,24,86.1523,105.866,0.358478903571,0.693550643035,139,0.00318728639466646,0.00363394358418759,0.00598995038630976,3.44532239688042e-05,0.322492026843594,0.768804627508259
"set1.4","13_U_016_2010","13_1_016",37.2549019607843,1927914223.68,267412.203651,1,254490.423689,5096106779.51,199194.287202,2496574304.66,0.378311190697887,0.772223850931029,6.09028153439856,0.338793543867169,56,113.705,124.512,0.707188323025,0.574468413172,559,0.022056566317959,0.0259324830740522,0.00470510208329523,8.17593046861235e-05,0.409240275425417,1.04517402094983
"set1.5","15_L_050_2010","15_0_050",68.6274509803922,25966582.2478,31755.2560539,1,29565.1709312,69444992.7139,25700.7352739,42750893.5695,0.373915832272851,0.607392736846218,6.23172418710671,0.323588752066001,25,84.7184,127.864,0.197560354529,0.266380697073,82,0.000315005644650035,0.000690107222212837,0.00365641568944328,6.25439220541209e-06,0.303405846143235,0.712399338557335
"set1.6","17_L_020_2010","17_0_020",94.1176470588235,50482523.4494,68250.4652559,1,40462.5599266,126182955.996,36480.0046435,85216652.3731,0.400074027834633,0.592402095641762,9.60583424699269,0.136188265017269,71,70.5881,119.908,0.294779175633,0.277458540236,244,0.000764315189837691,0.00129140463908109,0.00291355883473533,5.38132040247174e-06,0.303820797107903,0.800201477407858
"set1.7","17_L_040_2010","17_0_040",51.9607843137255,13209423.5437,24669.290559,1,20755.1274616,33206760.597,16220.0021886,17321974.0859,0.397793199523755,0.762581878843267,6.78757634471968,0.272759828767792,100,120.115,129.75,0.41822122987,0.290213273458,129,0.000291761013298553,0.000233380974560431,0.00205879817910491,1.60829928647855e-06,0.231589254788924,1.32270760411888
"set1.8","17_L_055_2010","17_0_055",74.5098039215686,89031947.6639,67510.2155954,1,67438.3325171,350493172.449,48537.8999082,144758160.783,0.254019064171229,0.615039229445333,7.15478450648638,0.24548035818106,53,186.947,101.789,0.306152065206,0.222182556166,247,0.00410831944961392,0.000694086430971321,0.00291603703782277,6.14769608905038e-06,0.413585592869227,2.31205729166999
"set1.9","17_U_007_2010","17_1_007",60.7843137254902,22676593.1851,29017.4194326,1,24186.8666988,45088824.2964,21227.3370496,30499840.6661,0.502931569828281,0.743498742611617,6.09354303747583,0.338430969756901,45,94.4476,132.266,0.16714695978,0.223279428875,140,0.00042323717594457,0.000447342773713828,0.00218254546238833,2.36047671513384e-06,0.204023537267857,1.00461503784938
"set1.10","18_L_065_2010","18_0_065",66.6666666666667,2302130821.04,324502.487485,1,310051.315223,7475234486.74,232245.868109,3213436718.34,0.307967706581466,0.716407703908119,6.76321246050351,0.274728555559519,36,75.9357,148.331,0.582600610544,0.620576888825,293,0.032494273442566,0.0624010235705306,0.0110605084502171,0.000242340249373009,0.300982281978811,0.879867037428569
